vrstni_red,albumi,leta,avtorji,podzvrsti,ocene,st_glasov
80.,Imaginary Sonicscape,(2001),Sigh,Black,8.58,122
81.,Murmu&uuml;re,(2010),Murmu&uuml;re,Black,8.57,37
82.,By Honour,(2008),Ereb Altor,Black,8.57,23
83.,As The Angels Reach The Beauty,(1999),Graveworm,Black,8.57,197
84.,The Haunting,(1998),Sear Bliss,Black,8.57,23
85.,Two Hunters,(2007),Wolves In The Throne Room,Black,8.56,204
86.,Souvenirs D&#039;un Autre Monde,(2007),Alcest,Black,8.56,472
87.,The Dawn Of The Dying Sun,(1997),Hades,Black,8.56,36
88.,Hvis Lyset Tar Oss,(1994),Burzum,Black,8.56,442
89.,Emissaries,(2006),Melechesh,Black,8.56,223
90.,Steadfast,(2008),Forefather,Black,8.55,140
91.,To Mega Therion,(1985),Celtic Frost,Black,8.55,374
92.,Antithesis,(2006),Secrets Of The Moon,Black,8.55,31
93.,Let The Devil In,(2010),Sargeist,Black,8.55,42
94.,Terror Propaganda,(2002),Craft,Black,8.55,20
95.,&Eacute;cailles De Lune,(2010),Alcest,Black,8.55,526
96.,Deep Tracts Of Hell,(1998),Aura Noir,Black,8.54,35
97.,Scourge Of Malice,(2001),Graveworm,Black,8.54,138
98.,Scent Of A Dream,(2004),Thurisaz,Black,8.54,65
99.,Hildebrandslied,(2007),Menhir,Black,8.54,35
100.,Iidsetel S&uuml;nkjatel Radadel,(2007),Tharaphita,Black,8.54,26
1.,Symbolic,(1995),Death,Death,9.16,1728
2.,Crimson,(1996),Edge Of Sanity,Death,9.07,665
3.,Storm Of The Light&#039;s Bane,(1995),Dissection,Death,8.95,825
4.,Human,(1991),Death,Death,8.91,1201
5.,Arise,(1991),Sepultura,Death,8.89,1040
6.,Emergence,(2014),Shylmagoghnar,Death,8.88,33
7.,Communion,(2008),Septicflesh,Death,8.88,817
8.,Stone&#039;s Reach,(2009),Be&#039;lakor,Death,8.87,860
9.,Beneath The Remains,(1989),Sepultura,Death,8.85,876
10.,Individual Thought Patterns,(1993),Death,Death,8.84,1101
11.,Altars Of Madness,(1989),Morbid Angel,Death,8.83,697
12.,The Morning Never Came,(2003),Swallow The Sun,Death,8.81,500
13.,From Mars To Sirius,(2005),Gojira,Death,8.79,740
14.,Above The Weeping World,(2006),Insomnium,Death,8.78,720
15.,The Dawn Of Flames,(1997),Gates Of Ishtar,Death,8.78,23
16.,Elvenefris,(2000),Lykath&eacute;,Death,8.77,142
17.,Unquestionable Presence,(1991),Atheist,Death,8.77,420
18.,Heartwork,(1993),Carcass,Death,8.77,840
19.,Tales From The Thousand Lakes,(1994),Amorphis,Death,8.76,763
20.,Slaughtersun (Crown Of The Triarchy),(1998),Dawn (SWE),Death,8.76,50
21.,The Key,(1990),Nocturnus AD,Death,8.76,161
22.,Core,(2006),Persefone,Death,8.75,159
23.,With Oden On Our Side,(2006),Amon Amarth,Death,8.75,1516
24.,Like An Ever Flowing Stream,(1991),Dismember,Death,8.74,270
25.,Focus,(1993),Cynic,Death,8.73,569
26.,Day Into Night,(2000),Quo Vadis,Death,8.73,135
27.,Divine Revolution,(2006),Dominia,Death,8.73,81
28.,Those Once Loyal,(2005),Bolt Thrower,Death,8.72,363
29.,Pierced From Within,(1995),Suffocation,Death,8.72,267
30.,Crimson II,(2003),Edge Of Sanity,Death,8.72,349
31.,Pandemonium,(2003),Torture Squad,Death,8.71,31
32.,A Virgin And A Whore,(2001),Eternal Tears Of Sorrow,Death,8.71,442
33.,Epitome Of Darkness,(2006),Repugnant,Death,8.71,31
34.,Descent,(2007),Dawn Of Tears,Death,8.70,70
35.,Defiant Imagination,(2004),Quo Vadis,Death,8.69,180
36.,De Profundis,(1995),Vader,Death,8.69,223
37.,Wordless Hope,(2006),Inborn Suffering,Death,8.69,36
38.,Cause Of Death,(1990),Obituary,Death,8.69,393
39.,Oracle Moon,(2000),Garden Of Shadows,Death,8.68,60
40.,Left Hand Path,(1990),Entombed,Death,8.68,357
41.,Nightmares Made Flesh,(2004),Bloodbath,Death,8.68,571
